Date,Open,High,Low,Close,Volume,Adj Close
2011-03-14,21.79,31.28,20.92,24.44,000,24.44
2011-03-07,19.37,22.25,18.95,20.08,000,20.08
2011-02-28,19.12,21.14,17.63,19.06,000,19.06
2011-02-22,19.46,23.22,18.38,19.22,000,19.22
2011-02-14,16.07,17.30,15.22,16.43,000,16.43
2011-02-07,16.14,17.07,14.86,15.69,000,15.69
2011-01-31,19.61,19.96,15.89,15.93,000,15.93
2011-01-24,18.78,20.08,15.81,20.04,000,20.04
2011-01-18,16.19,18.85,15.71,18.47,000,18.47
2011-01-10,18.35,18.63,15.37,15.46,000,15.46
2011-01-03,17.94,18.24,16.57,17.14,000,17.14
2010-12-27,18.26,18.32,17.02,17.75,000,17.75
2010-12-20,16.22,16.86,15.40,16.47,000,16.47
2010-12-13,16.82,18.27,15.46,16.11,000,16.11
2010-12-06,18.80,18.85,17.06,17.61,000,17.61
2010-11-29,23.15,23.84,17.71,18.01,000,18.01
2010-11-22,19.45,22.22,18.35,22.22,000,22.22
2010-11-15,20.33,23.07,17.76,18.04,000,18.04
2010-11-08,19.33,21.23,17.83,20.61,000,20.61
2010-11-01,21.65,22.54,17.92,18.26,000,18.26
2010-10-25,19.22,22.37,18.86,21.20,000,21.20
2010-10-18,20.43,21.35,18.76,18.78,000,18.78
2010-10-11,19.33,21.59,17.90,19.03,000,19.03
2010-10-04,23.63,24.34,20.29,20.71,000,20.71
2010-09-27,22.58,24.52,21.97,22.50,000,22.50
2010-09-20,22.47,24.06,21.25,21.71,000,21.71
2010-09-13,21.06,22.83,20.85,22.01,000,22.01
2010-09-07,22.77,23.94,21.76,21.99,000,21.99
2010-08-30,25.88,27.83,21.24,21.31,000,21.31
2010-08-23,25.97,28.92,24.41,24.45,000,24.45
2010-08-16,27.41,28.10,23.40,25.49,000,25.49
2010-08-09,21.85,27.21,21.36,26.24,000,26.24
2010-08-02,23.07,23.89,21.72,21.74,000,21.74
2010-07-26,24.37,27.32,21.86,23.50,000,23.50
2010-07-19,27.02,27.40,23.32,23.47,000,23.47
2010-07-12,24.66,28.16,23.12,26.25,000,26.25
2010-07-06,28.82,31.15,24.22,24.98,000,24.98
2010-06-28,29.20,37.58,28.47,30.12,000,30.12
2010-06-21,22.90,30.41,22.87,28.53,000,28.53
2010-06-14,27.94,28.72,23.30,23.95,000,23.95
2010-06-07,35.66,37.38,28.60,28.79,000,28.79
2010-06-01,34.87,36.12,29.12,35.48,000,35.48
2010-05-24,41.74,43.74,29.39,32.07,000,32.07
2010-05-17,31.33,48.20,28.09,40.10,000,40.10
2010-05-10,28.65,33.24,24.30,31.24,000,31.24
2010-05-03,22.41,42.15,19.61,40.95,000,40.95
2010-04-26,17.52,23.20,17.07,22.05,000,22.05
2010-04-19,19.14,19.55,15.50,16.62,000,16.62
2010-04-12,15.67,19.70,15.23,18.36,000,18.36
2010-04-05,17.96,18.16,16.06,16.14,000,16.14
2010-03-29,18.17,18.28,16.79,17.47,000,17.47
2010-03-22,18.30,18.69,16.21,17.77,000,17.77
2010-03-15,18.28,18.78,16.17,16.97,000,16.97
2010-03-08,17.95,19.34,17.43,17.58,000,17.58
2010-03-01,19.93,19.94,17.23,17.42,000,17.42
2010-02-22,20.16,22.68,19.32,19.50,000,19.50
2010-02-16,23.51,23.57,19.71,20.02,000,20.02
2010-02-08,26.11,27.11,22.73,22.73,000,22.73
2010-02-01,24.33,29.22,21.08,26.11,000,26.11
2010-01-25,27.32,27.32,22.11,24.62,000,24.62
2010-01-19,18.63,28.01,17.33,27.31,000,27.31
2010-01-11,16.93,19.46,16.86,17.91,000,17.91
2010-01-04,21.68,21.68,18.11,18.13,000,18.13
2009-12-28,20.29,21.83,19.62,21.68,000,21.68
2009-12-21,21.46,21.51,19.25,19.47,000,19.47
2009-12-14,21.59,23.02,20.46,21.68,000,21.68
2009-12-07,22.32,24.20,21.39,21.59,000,21.59
2009-11-30,24.95,25.57,20.61,21.25,000,21.25
2009-11-23,21.98,25.93,20.05,24.74,000,24.74
2009-11-16,23.36,24.20,21.63,22.19,000,22.19
2009-11-09,24.19,24.61,21.61,23.36,000,23.36
2009-11-02,30.70,31.84,24.06,24.19,000,24.19
2009-10-26,23.06,31.59,21.89,30.69,000,30.69
2009-10-19,21.41,22.77,20.10,22.27,000,22.27
2009-10-12,23.12,24.07,20.98,21.43,000,21.43
2009-10-05,29.34,29.34,22.99,23.12,000,23.12
2009-09-28,26.26,29.56,24.54,28.68,000,28.68
2009-09-21,25.34,26.34,22.19,25.61,000,25.61
2009-09-14,25.39,25.39,22.78,23.92,000,23.92
2009-09-08,25.26,26.15,22.48,24.15,000,24.15
2009-08-31,24.76,29.57,24.76,25.26,000,25.26
2009-08-24,25.01,25.89,22.58,24.76,000,24.76
2009-08-17,24.27,28.39,23.91,25.01,000,25.01
2009-08-10,24.76,26.98,24.26,24.27,000,24.27
2009-08-03,25.92,26.49,23.98,24.76,000,24.76
2009-07-27,24.06,26.22,24.02,25.92,000,25.92
2009-07-20,25.06,25.42,23.00,23.09,000,23.09
2009-07-13,28.36,29.24,23.83,24.34,000,24.34
2009-07-06,30.32,33.05,28.82,29.02,000,29.02
2009-06-29,25.93,28.62,24.80,27.95,000,27.95
2009-06-22,30.40,32.05,25.76,25.93,000,25.93
2009-06-15,29.70,32.77,27.56,27.99,000,27.99
2009-06-08,30.84,31.82,26.41,28.15,000,28.15
2009-06-01,28.70,31.79,28.30,29.62,000,29.62
2009-05-26,34.57,34.57,28.85,28.92,000,28.92
2009-05-18,32.91,32.91,26.57,32.63,000,32.63
2009-05-11,32.05,34.08,30.59,33.12,000,33.12
2009-05-04,35.30,36.24,31.19,32.05,000,32.05
2009-04-27,39.46,39.64,34.50,35.30,000,35.30
2009-04-20,33.94,40.29,33.94,36.82,000,36.82
2009-04-13,38.32,38.91,33.68,33.94,000,33.94
2009-04-06,41.96,43.02,36.53,36.53,000,36.53
2009-03-30,44.86,46.28,39.64,39.70,000,39.70
2009-03-23,45.89,45.89,40.17,41.04,000,41.04
2009-03-16,42.36,47.63,38.79,45.89,000,45.89
2009-03-09,49.35,51.34,40.03,42.36,000,42.36
2009-03-02,49.96,53.25,45.02,49.33,000,49.33
2009-02-23,49.30,53.16,41.91,46.35,000,46.35
2009-02-17,48.14,52.04,42.02,49.30,000,49.30
2009-02-09,45.40,48.63,40.73,42.93,000,42.93
2009-02-02,49.42,49.54,41.20,43.37,000,43.37
2009-01-26,47.89,47.93,33.76,44.84,000,44.84
2009-01-20,50.12,57.36,46.15,47.27,000,47.27
2009-01-12,42.06,55.16,41.94,46.11,000,46.11
2009-01-05,39.24,44.60,37.34,42.82,000,42.82
2008-12-29,43.35,46.24,36.88,39.19,000,39.19
2008-12-22,44.93,46.69,41.68,43.38,000,43.38
2008-12-15,55.68,58.49,41.29,44.93,000,44.93
2008-12-08,58.86,59.87,52.94,54.28,000,54.28
2008-12-01,60.47,68.60,59.26,59.93,000,59.93
2008-11-24,71.19,71.35,50.50,55.28,000,55.28
2008-11-17,69.57,81.48,65.10,72.67,000,72.67
2008-11-10,56.09,69.99,54.63,66.31,000,66.31
2008-11-03,60.17,64.78,44.25,56.10,000,56.10
2008-10-27,79.13,81.65,56.73,59.89,000,59.89
2008-10-20,70.40,89.53,50.91,79.13,000,79.13
2008-10-13,69.95,81.17,47.29,70.33,000,70.33
2008-10-06,45.12,76.94,45.12,69.95,000,69.95
2008-09-29,36.92,48.40,36.92,45.14,000,45.14
2008-09-22,32.40,36.71,30.81,34.74,000,34.74
2008-09-15,25.66,42.16,25.66,32.07,000,32.07
2008-09-08,22.22,26.67,22.12,25.66,000,25.66
2008-09-02,20.65,24.71,20.47,23.06,000,23.06
2008-08-25,18.78,21.27,18.78,20.65,000,20.65
2008-08-18,19.58,22.14,18.64,18.81,000,18.81
2008-08-11,20.66,22.30,19.57,19.58,000,19.58
2008-08-04,23.77,23.86,19.75,20.66,000,20.66
2008-07-28,22.91,24.62,19.65,22.57,000,22.57
2008-07-21,24.05,24.58,20.73,22.91,000,22.91
2008-07-14,27.49,30.81,23.78,24.05,000,24.05
2008-07-07,25.48,29.44,22.59,27.49,000,27.49
2008-06-30,24.25,26.08,22.70,24.79,000,24.79
2008-06-23,22.89,24.56,20.34,23.44,000,23.44
2008-06-16,21.22,23.70,20.02,22.87,000,22.87
2008-06-09,23.56,24.47,20.78,21.22,000,21.22
2008-06-02,17.83,23.79,17.83,23.56,000,23.56
2008-05-27,20.78,20.95,17.54,17.83,000,17.83
2008-05-19,16.47,19.80,15.82,19.55,000,19.55
2008-05-12,19.17,19.48,16.19,16.47,000,16.47
2008-05-05,18.68,20.01,18.11,19.41,000,19.41
2008-04-28,20.14,20.83,17.97,18.18,000,18.18
2008-04-21,20.15,21.60,19.21,19.59,000,19.59
2008-04-14,23.46,24.35,19.21,20.13,000,20.13
2008-04-07,22.45,23.59,21.21,23.46,000,23.46
2008-03-31,25.71,26.77,21.75,22.45,000,22.45
2008-03-24,26.64,27.04,24.75,25.71,000,25.71
2008-03-17,35.14,35.60,25.16,26.62,000,26.62
2008-03-10,28.13,32.89,24.90,31.16,000,31.16
2008-03-03,27.54,29.29,23.30,27.49,000,27.49
2008-02-25,24.06,26.91,21.64,26.54,000,26.54
2008-02-19,25.39,26.95,23.62,24.06,000,24.06
2008-02-11,29.14,29.57,23.98,25.02,000,25.02
2008-02-04,25.09,29.70,24.85,28.01,000,28.01
2008-01-28,29.67,30.26,24.02,24.02,000,24.02
2008-01-22,35.12,37.57,22.82,29.08,000,29.08
2008-01-14,23.76,29.30,22.65,27.18,000,27.18
2008-01-07,24.62,25.95,22.62,23.68,000,23.68
2007-12-31,21.87,24.30,21.79,23.94,000,23.94
2007-12-24,19.08,21.05,18.48,20.74,000,20.74
2007-12-17,24.13,24.86,18.28,18.47,000,18.47
2007-12-10,21.16,24.22,19.77,23.27,000,23.27
2007-12-03,23.59,24.59,19.65,20.85,000,20.85
2007-11-26,26.46,28.95,22.00,22.87,000,22.87
2007-11-19,26.74,27.77,23.62,25.96,000,25.96
2007-11-12,30.57,31.09,23.07,25.49,000,25.49
2007-11-05,25.25,29.15,21.24,28.50,000,28.50
2007-10-29,19.93,25.17,16.84,23.01,000,23.01
2007-10-22,23.89,24.15,19.48,19.56,000,19.56
2007-10-15,18.14,22.96,17.73,22.96,000,22.96
2007-10-08,17.73,19.73,16.08,17.73,000,17.73
2007-10-01,18.44,18.99,16.44,16.91,000,16.91
2007-09-24,19.04,20.46,16.91,18.00,000,18.00
2007-09-17,26.45,27.08,18.37,19.00,000,19.00
2007-09-10,26.91,28.82,23.83,24.92,000,24.92
2007-09-04,21.93,26.97,21.71,26.23,000,26.23
2007-08-27,22.24,26.57,21.96,23.38,000,23.38
2007-08-20,29.87,29.95,20.44,20.72,000,20.72
2007-08-13,28.02,37.50,25.23,29.99,000,29.99
2007-08-06,25.32,29.84,19.33,28.30,000,28.30
2007-07-30,23.64,26.22,19.68,25.16,000,25.16
2007-07-23,16.62,24.17,16.39,24.17,000,24.17
